Address,Photograph,AddressPath,Theme,Name,Photo,ImageFile,Colour,Note,cId
Unit 124 Popular St,,Unit-124/Screenshot (918).png,-,Issi,,Unit-124/Screenshot (919).png,LIGHT BLUE,-,1
Unit 124 Popular St,-,Unit-124/Screenshot (918).png,-,Ingot,,Unit-124/Screenshot (920).png,GREY,-,2
Del Perro Hts. Apt 20,,Del-Perro-Hts/Screenshot (638).png,Racing,Cheburek,,Del-Perro-Hts/Screenshot (628).png,YELLOW,-,3
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,Racing,Futo,,Del-Perro-Hts/Screenshot (629).png,BLUE,-,4
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,Racing,Issi Classic,,Del-Perro-Hts/Screenshot (630).png,Brittish Racing Green,-,5
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,Racing,Emerus,,Del-Perro-Hts/Screenshot (631).png,Navy Blue,Won on Wheel,6
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,Racing,Sanchez (livery),,Del-Perro-Hts/Screenshot (632).png,Camo Green,-,7
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,,Sentinel,,Del-Perro-Hts/Screenshot (633).png,Black,-,8
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,,Empty,-,Empty/open.png,-,-,9
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,-,Empty,-,Empty/open.png,-,-,10
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,Racing,Omnis,,Del-Perro-Hts/Screenshot (634).png,Red and Orange,-,11
Del Perro Hts. Apt 20,-,Del-Perro-Hts/Screenshot (638).png,Racing,Bati 801RR,,Del-Perro-Hts/Screenshot (635).png,Red and White,-,12
South Shambles St,,South-Shambles-St/Screenshot (639).png,Bikes,Sanchez,,South-Shambles-St/Screenshot (640).png,Black,-,13
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Hakuchou Drag,,South-Shambles-St/Screenshot (641).png,Silver and Pink,-,14
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Zombie Bobber,,South-Shambles-St/Screenshot (642).png,Silver,-,15
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Bati 801,,South-Shambles-St/Screenshot (643).png,Navy Blue,-,16
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Sovereign,,South-Shambles-St/Screenshot (644).png,Red White & Blue,-,17
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Hot Rod Blazer,,South-Shambles-St/Screenshot (645).png,Black & Flames,-,18
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Hakuchou,,South-Shambles-St/Screenshot (646).png,Black,-,19
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Nemesis,,South-Shambles-St/Screenshot (647).png,black,-,20
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Veto Classic,,South-Shambles-St/Screenshot (648).png,Orange,-,21
South Shambles St,-,South-Shambles-St/Screenshot (639).png,Bikes,Veto Classic,,South-Shambles-St/Screenshot (649).png,Black,-,22
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Youga,,Except-Way/Screenshot (650).png,White,-,23
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Surfer,,Except-Way/Screenshot (651).png,Violet,-,24
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Blista,,Except-Way/Screenshot (652).png,Blue,-,25
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Pigalle,,Except-Way/Screenshot (653).png,Beige,-,26
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Turismo R,,Except-Way/Screenshot (654).png,Black,-,27
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Brioso 300,,Except-Way/Screenshot (655).png,Orange,-,28
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Voltic,,Except-Way/Screenshot (656).png,Lime Green,-,29
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Sentinel XS,,Except-Way/Screenshot (657).png,Violet,-,30
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Ruiner,,Except-Way/Screenshot (658).png,Black & Gold,-,31
Exceptionalists Way,-,Except-Way/Screenshot (894).png,-,Sentinel ,,Except-Way/Screenshot (659).png,Silver,-,32
870 Route 68,,Route-88/Screenshot (678).png,winter,Mesa,,Route-88/Screenshot (670).png,Red,-,33
870 Route 68,-,Route-88/Screenshot (678).png,winter,Sadler,,Route-88/Screenshot (671).png,Red,-,34
870 Route 68,-,Route-88/Screenshot (678).png,winter,Blista Compact,,Route-88/Screenshot (672).png,Red,-,35
870 Route 68,-,Route-88/Screenshot (678).png,winter,Dubsta,,Route-88/Screenshot (673).png,Silver,-,36
870 Route 68,-,Route-88/Screenshot (678).png,winter,Verus,,Route-88/Screenshot (675).png,Kahki,-,37
870 Route 68,-,Route-88/Screenshot (678).png,winter,Enduro,,Route-88/Screenshot (676).png,White,-,38
Great Chaparral Clubhouse,,Great-Club/Screenshot (679).png,Bikes,Ruffian,,Great-Club/Screenshot (660).png,Red,-,39
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Cliffhanger,,Great-Club/Screenshot (661).png,Silver,-,40
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Bagger,,Great-Club/Screenshot (662).png,Matte Green,-,41
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Daemon,,Great-Club/Screenshot (663).png,Navy Blue,-,42
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,PCJ 600,,Great-Club/Screenshot (664).png,Silver,-,43
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Shotaro,,Great-Club/Screenshot (665).png,Silver,-,44
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Blazer Lifeguard,,Great-Club/Screenshot (666).png,Red,-,45
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Bati 801,,Great-Club/Screenshot (667).png,Navy Blue,-,46
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Faggio Mod,,Great-Club/Screenshot (668).png,Red & White,-,47
Great Chaparral Clubhouse,-,Great-Club/Screenshot (679).png,Bikes,Opressor,,Great-Club/Screenshot (669).png,Red & Sliver,-,48
San Vitas St. Apt 2,,San-Vitas/Screenshot (682).png,-,Empty,-,Empty/open.png,-,-,49
